team_index,team_name,division,team_website,home_field,home_field_city,home_field_state,phone_number,team_email,head_coach,assistant_hc,offensive_coordinator,defensive_coordinator,special_teams_coordinator,general_manager,assistant_general_manager,director_of_operations,owner,pct,pf,pa,home_wins,home_loss,home_ties,road_win,road_loss,road_tie,div_win,div_loss,div_tie,non_div_win,non_div_loss,non_div_tie,streak,season
9,Kansas City Glory,Central,https://www.kansascityglory.com/,NR,NR,MO,NR,kcglory@wnfcfootball.com,Keke Blackmon,NR,NR,NR,NR,NR,NR,NR,NR,0.667,109,87,2,1,0,2,1,0,4,2,0,0,0,0,2,2024
10,Denver Bandits,Central,https://www.denbandits.com/,Five Star Stadium,NR,CO,303-669-0581,Denverbandits@wnfcfootball.com,Sam Turner,NR,NR,NR,NR,NR,NR,NR,"John Lutz, Amber Craft",0.5,56,70,2,1,0,1,2,0,3,3,0,0,0,0,0,2024
11,Houston Mambas,Central,https://www.houstonmambas.com/,Edward Mercer Stadium,NR,TX,832-626-2212,Info@houstonmambas.com,Chenell Soho Tillman-Brooks,NR,NR,NR,NR,NR,NR,NR,NR,0.167,52,127,1,2,0,0,3,0,1,5,0,0,0,0,0,2024
1,San Diego Rebellion,Pacific,https://www.sandiegorebellion.com/,Escondido High/ Linfield Chriatian,NR,CA,NR,sdrebellion@wnfcfootball.com,Knengi Martin,NR,NR,NR,NR,NR,NR,NR,NR,1.0,165,26,3,0,0,3,0,0,6,0,0,0,0,0,6,2024
2,Seattle Majestics,Pacific,https://www.theseattlemajestics.com/,French Field,NR,WA,NR,seattlemajestics@wnfcfootball.com,Rodney McCurry,NR,NR,NR,NR,NR,NR,NR,NR,0.667,155,118,2,1,0,2,1,0,4,2,0,0,0,0,3,2024
5,Utah Falconz,Pacific,https://utahfalconz.com/,Cottonwood High School,NR,UT,859-816-3671,lacy.mile@utahfalconz.com,Keith Barnes,NR,Jon Price,Nate Hult,NR,NR,NR,NR,NR,0.5,102,87,1,2,0,2,1,0,3,3,0,0,0,0,1,2024
4,Las Vegas Silver Stars,Pacific,https://www.lvsilverstars.com/,Faith Lutheran,NR,NV,NR,NR,Carrie Walters,NR,NR,NR,NR,NR,NR,NR,NR,0.333,85,113,0,3,0,2,1,0,2,4,0,0,0,0,0,2024
6,Oregon Ravens,Pacific,https://oregonravens.com/,Milwaukie High School,NR,OR,503-853-1919,oregonravensfootball@gmail.com,Tim Price,NR,NR,NR,NR,Asia Wisecarver,NR,Heidi Shelburg,Oana Dumitrescu,0.167,24,177,0,3,0,1,2,0,1,5,0,0,0,0,0,2024
3,Los Angeles Legends,Pacific,https://www.lalegendsfootball.com/,Warren High School,NR,CA,310-256-0267,lalegends@wnfcfootball.com,Monique Adams,NR,NR,NR,NR,NR,NR,NR,NR,0.167,40,92,0,3,0,1,2,0,1,5,0,0,0,0,0,2024
1,San Diego Rebellion,Pacific,https://www.sandiegorebellion.com/,Escondido High School,NR,CA,650-521-1756,sdrebellion@wnfcfootball.com,Knengi Martin,NR,NR,NR,NR,NR,NR,NR,NR,0.875,234,54,4,1,0,3,0,0,7,1,0,0,0,0,0,2025
2,Seattle Majestics,Pacific,https://www.theseattlemajestics.com,French Field,Kent,WA,NR,seattlemajestics@wnfcfootball.com,Joey Martinez,NR,Pierre Rogers,Justin Martinez,Christopher Berry,Virgil Jones,NR,NR,NR,0.571,171,121,2,1,0,2,2,0,4,3,0,0,0,0,0,2025
3,Los Angeles Legends,Pacific,https://www.lalegendsfootball.com,Warren High School,NR,CA,424-232-8902,	info@lalegendsfootball.com,Timothy Holmes,NR,NR,NR,NR,NR,NR,NR,NR,0.429,116,132,2,1,0,1,3,0,3,4,0,0,0,0,0,2025
4,Las Vegas Silver Stars,Pacific,https://www.lvsilverstars.com/,Mater Academy East,NR,NV,702-595-4811,lvsilverstarsfootball@gmail.com,Carrie Walters,NR,NR,NR,NR,NR,NR,NR,NR,0.333,62,155,2,1,0,0,3,0,2,4,0,0,0,0,0,2025
5,Utah Falconz,Pacific,https://utahfalconz.com/,Cottonwood High School,NR,UT,859-816-3671,Utahfalconz@gmail.com,Cecil Chang,NR,NR,NR,NR,NR,NR,NR,NR,0.333,6,135,2,1,0,0,3,0,2,4,0,0,0,0,0,2025
6,Oregon Ravens,Pacific,https://oregonravens.com/,Milwaukie High School,NR,OR,503-853-1919,oregonravensfootball@gmail.com,John Larosa,NR,NR,NR,NR,Asia Wisecarver,Summer Rose,Heidi Shelburg,Oana Dumitrescu,0.167,43,179,1,2,0,0,3,0,1,5,0,0,0,0,0,2025
7,Texas Elite Spartans,Central,	https://www.texaselitewomensfootball.com/,CMS West,Coppell,TX,469-986-5672,	txelitespartans@wnfcfootball.com,Odessa Jenkins,Kay Spain,NR,Kay Spain,NR,NR,NR,NR,NR,0.875,285,26,4,0,0,3,1,0,7,1,0,0,0,0,7,2025
8,Mississippi Panthers,Central,https://www.mspanthers.com/,Madison Ridgeland Academy,NR,MS,601-451-2498,Mspanthers@wnfcfootball.com,LeSteven Jackson,NR,NR,NR,NR,NR,NR,NR,NR,0.75,224,80,4,0,0,2,2,0,6,2,0,0,0,0,0,2025
9,Kansas City Glory,Central,https://www.kansascityglory.com/,Pembroke Hill High School,Kansas City,MO,NR,kcglory@wnfcfootball.com,"Spencer Peterson, Keke Blackmon",NR,NR,NR,NR,NR,NR,NR,NR,0.571,93,83,3,0,0,1,3,0,4,3,0,0,0,0,0,2025
10,Denver Bandits,Central,https://www.denbandits/,North Stadium/ APS Stadium,NR,CO,NR,denverbandits@wnfcfootball.com,Martin Jones,NR,NR,NR,NR,NR,NR,NR,NR,0.167,27,188,0,3,0,1,2,0,1,5,0,0,0,0,0,2025
11,Houston Mambas,Central,www.houstonmambas.com,Sheldon ISD Panther Stadium,NR,TX,NR,Houstonmambas@wnfcfootball.com,Marcus John,NR,NR,NR,NR,NR,NR,NR,NR,0.0,13,198,0,3,0,0,3,0,0,6,0,0,0,0,0,2025
12,Washington Prodigy,Atlantic,https://www.washingtonprodigy.com/,Theodore Roosevelt High School,Washington,DC,215-327-4825,prodigy@wnfcfootball.com,LaMont Jordan,NR,NR,NR,NR,NR,NR,NR,NR,1.0,222,42,5,0,0,3,0,0,8,0,0,0,0,0,8,2025
13,Chicago Winds,Atlantic,https://www.thechicagowinds.com/,Langhorst Field,Chicago,IL,NR,chicagowinds@wnfcfootball.com,Allan Williams,NR,NR,Carlos Jones,NR,NR,NR,NR,NR,0.714,202,99,2,1,0,3,1,0,5,2,0,0,0,0,0,2025
14,Jersey Shore Wave,Atlantic,https://www.jerseyshorefb.com/,Hinchliffe Stadium,NR,NJ,NR,wave@jerseyshorefb.com,Fabian Alesandro,NR,NR,NR,NR,NR,NR,NR,NR,0.333,80,119,2,1,0,0,3,0,2,4,0,0,0,0,0,2025
15,Tennesse Trojans,Atlantic,https://www.tennesseetrojans.com/,NR,NR,TN,847-951-9201,tntrojans@wnfcfootball.com,Charles Hunter,Matthew Breymeyer,Jeremy Bassett,NR,NR,Casandra Cattouse,NR,NR,Rachel Ortiz-Marsh,0.333,45,103,2,2,0,1,2,0,2,4,0,0,0,0,0,2025
16,Atlanta Truth,Atlantic,https://www.atlantatruthfootball.com/,Lithia Springs High School,NR,GA,943-888-2286,Atlantatruth@wnfcfootball.com,Kameron Marks,NR,NR,NR,NR,NR,NR,NR,NR,0.333,81,113,2,1,0,0,3,0,2,4,0,0,0,0,0,2025
17,Florida Avengers,Atlantic,https://www.floridaavengers.com/,Nathaniel Glover Community Field and Stadium at Edward Waters University,NR,FL,904-334-5026,floridaavengers@wnfcfootball.com,Damien Grimes,NR,NR,NR,NR,NR,NR,NR,NR,0.167,33,172,0,3,0,1,2,0,1,5,0,0,0,0,1,2025
